mid,uid,content,time
5130727471450874,5579823481,"婚后发现自己不想生孩子怎么办？
#年轻人恐婚恐育的真正原因是什么#",02月05日 16:30
5130626539194705,5028050167,"恐惧结婚
#年轻人恐婚恐育的真正原因是什么#",02月05日 09:49
5093799912803980,1724126567,"心情不太好，写写关于恐育的一些想法。
有人爱生那就多生，但不要劝生催生。
不要把个人意志强加于别人，尊重理解祝福。
#年轻人恐婚恐育的真正原因是什么#",2024年10月26日 18:53
5090609318073100,5895897584,"我怎么会接受两代人掌心向上的日子
#年轻人恐婚恐育的真正原因是什么#",2024年10月17日 23:35
5066170280184306,7648209024,"坐在亲戚孩子的满月宴上，同桌的叔叔喝的酒气熏天。孩子抱来了，他左抱右抱，好像很喜欢。
妈妈回头跟我说，“小孩子可爱吧？”。可我看着对面，满脑子想着：他抱的这样不稳，摔下来怎么办？喝过酒怎么可以亲在小孩的脸上！
“生命”真的是看似轻飘飘的两个字。
#年轻人恐婚恐育的真正原因是什么#",2024年08月11日 13:03
5048741024762773,5518581583,"如果你：
☑️想成为父母，又怕成为父母
☑️怕当不好父母，又怕失去了自己
☑️鸡娃卷孩子，怕让孩子失去了诗和远方
☑️让孩子躺平，又怕让TA失去了选择权
快来参加Karan的1v1免费用户访谈，我们一起温柔注视生命，寻找教育的旷野，成为更坚定的自己～～
招募详情见海报⬇️
#新手父母#
#年轻人恐婚恐育的真正原因是什么#
#树洞#
#家庭教育#",2024年06月24日 10:45
5021372265535121,7329247760,"#年轻人恐婚恐育的真正原因是什么#

楼下小宝宝力气好大 喜欢我家修勾直接抱走
不过她一闹是真难哄 感恩我爸妈给我养长大",2024年04月09日 22:11
5021312336269178,2203732124,"I hate kids😠
×3000000000
#熊孩子有多令人讨厌#
#熊孩子#
#年轻人恐婚恐育的真正原因是什么#

2
澳大利亚·Melbourne International Airport

L
野生小叽薇的微博视频",2024年04月09日 18:13
5013041773023158,5705737694,"人为什么要结婚生孩子？
答：每个人都有她应得的报应。
#年轻人恐婚恐育的真正原因是什么#",2024年03月17日 22:29
5004680890156367,6031889829,"这人啊…
真的要结婚吗？
真的要向现实妥协吗？
真的要过自己不想过的生活吗？
#年轻人恐婚恐育的真正原因是什么#",2024年02月23日 20:46
4983719330318876,5910969387,"#年轻人恐婚恐育的真正原因是什么#
这个因人而异因男女而异吧，不要再老说是什么房价物价经济原因了，虽然那是主流，但是有很多女性是恐孕的。
最近我被家人疯狂催婚，本质是催生孩子，长辈老封建思想人必须要有后代，有了孩子再离婚都可以，可我是真的恐婚恐育，怀孕生孩子喂奶的过程能让我怕到半夜吓醒，如果女性能进化出一种机制，就是那种如果自身恐孕或者不是发自内心想要孩子就怀不了孕的机制就好了，只有真心接纳孩子想要孩子的人才能成为母亲，这样也不会有那么多不负责任或产后抑郁的妈妈了，也只有这才是女性真正掌握生育权，只要不是你真的想生的谁也左右不了你。
但是如果这样是不是生育率又更低了呢，我不信天下所有的母亲生孩子完全都是为了自己而生的。
催催催的窒息，恨自己是女的，不敢想象自己如果是男生，我该有多开朗。
胡言乱语一堆，精神状态不佳很久了，不知道还能撑多久，再这样下去，感觉不是死就是疯",2023年12月28日 00:32
4967386307887526,3249775502,"第二趴 哺乳真的比生娃痛！
Day1亲喂刺激，Day2就出了血泡，
Day3直接皲裂了，每次都像上刑一样的撕心裂肺，浑身冷汗，面目狰狞，涕泪横流。并且这种刑罚三小时一次，不分昼夜，不能躲避拒绝。
Day4-5 直接撕掉了一层皮，在最嫩的地方，血肉模糊…生理性涨奶，胸水肿痛成石头，淋巴也肿了。吸奶器、乳盾、止疼片统统用上。每次上面疼，下面肚子宫缩更疼，程度相当于开三指。精神已经崩溃，但贼船已上，不能回头…
Day6-7 长出新生的肉，依然剧烈的疼痛，但逐渐可控…
在过去这7天里，我每天蓬头垢面，衣不避体。因为要抓紧一切零碎时间补觉。伤口不能碰衣服，还要涂厚厚的药膏。
朋友圈简单一句报喜只是结果，过程就是这些能说不能说的疼痛和潦草。
我还是幸运的，队友给力，还有专业的月子中心以及医疗支持，几乎可以不用担心任何事。但这个就是生育真正的内容和过程。
至此，万里长征刚刚开拔…
#当代青年有多恐婚恐育#
#年轻人恐婚恐育的真正原因是什么#
#哺乳#
#哺乳期堵奶#",2023年11月12日 22:50
4950258393026557,6657263155,"有个小男孩不听话 我假装给他家长发微信 然后他叫我别发 我就随口问道 你家里还有个妹妹啊 他说你怎么知道 我说你爸爸的头像是你和你妹妹的照片 他说那是因为妈妈和爸爸吵架了 我问他爸爸妈妈为什么吵架 他说因为爸爸给他的女同事吃东西被妈妈发现了 我突然觉得很可笑 一个女生为一个男生生两个小孩之后 还要经历这些正常男人本就应该做到的事情
#教育#
#女权不是女性至上,是人权平等#
#年轻人恐婚恐育的真正原因是什么#",2023年09月26日 16:30
4949290142662868,3589740373,"#年轻人恐婚恐育的真正原因是什么#
这次是因为不小心摔了小猫咪而就该被骂，爹味说教着实可笑，远离婚姻",2023年09月24日 00:23
